"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","7.14","7.65","6.20","7.50","0.00","6.17","9.63","6.36","4.41","7.51","3.98","4.63","0.00","8.57","7.63","5.33","7.69","6.67","6.13","0.00","8.00","6.39","6.00","4.48","6.20","0.00","6.00","0.00","5.95","11.20","0.00","6.74","6.81","5.69","5.67","0.00","7.24","6.38","8.64","5.88","5.51","0.00","5.95","10.14","7.78","0.00","3.95","5.90","7.78","7.32","0.00","4.00","5.06","10.34","6.75","0.00","8.00","5.99","6.79"
"2018-02-01","2018-02-28","7.19","8.00","6.69","7.78","0.00","6.73","7.02","6.24","4.58","7.69","5.48","0.00","0.00","8.19","6.15","5.43","7.01","6.76","6.05","0.00","8.68","6.48","6.15","5.18","5.88","0.00","0.00","7.50","6.02","10.89","0.00","6.69","7.21","6.17","11.42","0.00","7.35","6.25","9.26","6.00","6.34","0.00","6.39","10.00","5.96","0.00","0.00","5.44","7.37","6.58","0.00","4.00","5.07","9.59","4.84","0.00","6.67","5.88","5.95"
"2018-03-01","2018-03-31","7.14","7.86","6.38","7.60","0.00","0.00","7.68","6.45","4.62","8.18","5.64","0.00","0.00","8.55","8.06","5.61","7.69","7.13","5.63","0.00","7.76","6.62","5.81","0.00","6.25","7.83","0.00","7.50","6.45","11.63","0.00","6.48","6.87","5.71","6.67","0.00","7.50","6.25","8.37","5.69","5.15","0.00","6.67","9.32","9.56","0.00","0.00","6.46","7.25","7.58","0.00","0.00","5.00","9.38","6.27","0.00","6.72","6.06","6.05"
"2018-04-01","2018-04-30","6.94","8.06","7.50","7.41","0.00","5.19","5.90","6.22","4.63","8.06","7.43","5.83","0.00","8.33","7.48","5.61","7.50","6.67","6.03","0.00","7.02","6.55","5.80","4.84","6.03","0.00","0.00","0.00","6.58","11.88","0.00","6.67","7.53","5.88","6.25","0.00","7.35","6.11","8.67","5.81","5.78","0.00","5.88","10.30","9.20","0.00","0.00","6.67","7.61","9.48","0.00","0.00","5.71","9.66","0.00","0.00","7.95","5.71","5.48"
"2018-05-01","2018-05-31","6.94","7.60","6.92","7.67","0.00","9.29","6.79","7.38","4.90","7.88","6.04","0.00","0.00","8.33","7.10","3.75","7.55","7.45","5.59","0.00","8.06","6.29","6.12","4.00","6.29","0.00","0.00","0.00","5.96","13.03","4.07","6.50","7.12","6.40","5.63","0.00","7.16","6.00","8.26","5.71","6.67","0.00","6.00","9.85","7.39","6.00","6.05","6.29","7.39","7.50","0.00","6.33","5.29","9.38","0.07","0.00","7.44","5.95","5.09"
"2018-06-01","2018-06-30","7.00","8.33","5.85","7.67","0.00","0.83","6.25","6.12","4.81","7.59","4.98","5.83","0.00","8.51","6.94","5.28","7.32","6.62","5.40","0.00","7.71","6.64","6.01","2.43","6.57","8.75","5.68","0.00","6.13","11.18","6.35","6.50","7.00","6.22","5.95","0.00","7.35","6.42","8.82","5.71","6.13","0.00","6.04","8.93","6.97","8.00","0.00","5.48","7.59","8.08","0.00","0.00","4.90","9.35","11.18","0.00","6.94","6.25","5.95"
"2018-07-01","2018-07-31","7.11","7.86","5.31","7.60","0.00","11.25","6.59","6.92","5.14","8.29","6.14","0.00","0.00","8.82","6.30","5.01","7.67","6.12","6.00","0.00","8.00","6.67","5.83","0.00","6.19","10.71","6.33","7.50","6.21","12.52","6.97","6.67","6.99","6.27","6.53","0.00","7.22","6.36","7.42","6.08","6.03","0.00","6.06","10.29","7.87","0.00","5.56","5.50","7.55","7.50","0.00","4.00","5.13","9.17","6.67","0.00","8.11","6.07","5.43"
"2018-08-01","2018-08-31","7.33","8.08","6.39","7.58","0.00","7.81","7.82","6.72","5.13","8.33","5.63","0.00","0.00","8.33","6.58","4.99","7.19","7.29","5.92","5.00","8.33","6.86","6.17","6.67","5.89","0.00","6.35","7.50","6.67","12.17","0.00","6.82","10.75","6.22","6.56","0.00","7.22","6.36","9.24","6.32","8.33","0.00","6.36","10.36","8.17","0.00","0.00","6.56","7.74","7.95","6.48","4.00","5.24","9.75","0.00","0.00","7.62","6.17","5.48"
"2018-09-01","2018-09-30","7.37","8.57","6.95","7.85","0.00","5.33","6.88","6.17","4.75","8.61","5.30","6.92","0.00","9.07","5.79","4.72","7.27","6.97","6.15","0.00","7.60","6.67","6.35","6.67","6.24","0.00","5.81","0.00","6.31","12.79","6.67","6.41","6.51","6.13","5.83","0.00","7.92","6.43","9.23","5.92","5.96","0.00","6.43","10.43","5.83","0.00","0.00","7.58","7.58","7.37","0.00","5.64","5.71","10.00","6.67","0.00","8.87","5.82","5.51"
"2018-10-01","2018-10-31","7.33","8.10","6.48","8.06","0.00","4.00","6.21","6.13","4.18","8.05","5.12","0.00","0.00","8.82","7.96","4.26","7.19","7.22","5.77","5.00","7.33","6.67","5.71","0.00","6.88","0.00","6.31","0.00","6.28","11.59","3.97","7.00","6.93","6.67","5.89","0.00","7.14","6.49","9.26","5.90","5.71","0.00","6.14","10.82","8.40","0.00","5.79","7.03","7.81","7.86","0.00","0.00","5.39","10.00","7.42","0.00","9.20","5.56","5.61"
"2018-11-01","2018-11-30","7.50","8.21","7.01","8.75","0.00","0.00","8.60","5.90","5.06","9.39","12.67","4.17","0.00","8.97","6.74","3.83","7.21","7.11","5.83","0.00","8.02","6.67","6.12","0.00","6.83","6.79","6.01","0.00","6.54","10.28","5.00","6.78","8.75","6.59","7.88","0.00","7.25","6.45","8.68","6.20","8.00","0.00","6.25","11.11","7.92","0.00","4.86","7.44","7.78","7.36","0.00","4.29","5.56","8.84","0.00","0.00","7.44","6.25","5.90"
"2018-12-01","2018-12-31","7.22","7.67","5.41","7.46","0.00","6.37","6.23","6.40","5.65","8.15","3.40","0.00","0.00","9.12","7.06","5.29","7.14","7.00","5.53","0.00","7.58","6.39","6.40","0.00","6.80","8.13","0.00","0.00","6.32","14.29","0.00","7.14","8.49","5.98","5.43","0.00","7.49","6.52","8.79","6.03","5.77","0.00","6.57","10.68","10.27","0.00","6.32","6.86","7.81","8.14","0.00","0.00","5.52","8.76","12.33","0.00","7.08","7.27","6.17"
"2019-01-01","2019-01-31","7.42","8.37","6.74","8.64","0.00","8.70","6.62","6.27","5.06","8.18","12.67","0.00","0.00","9.17","7.50","4.68","7.30","7.00","5.81","0.00","8.67","6.40","6.00","1.67","6.67","11.82","5.68","0.00","6.33","10.28","7.50","7.20","7.20","5.90","7.59","0.00","8.33","6.40","9.26","6.06","6.67","0.00","6.41","9.92","10.00","0.00","0.00","8.00","8.01","8.33","0.00","0.00","5.31","8.49","7.70","0.00","7.23","6.33","5.81"
"2019-02-01","2019-02-28","7.56","8.08","7.27","8.08","0.00","4.98","6.36","6.39","4.57","9.05","5.40","0.00","0.00","9.13","7.50","5.71","8.00","7.02","6.17","5.00","8.25","6.72","7.00","5.41","6.98","0.00","8.65","7.81","6.67","8.85","0.00","7.30","7.10","7.22","7.14","2.00","8.15","6.47","8.75","6.00","6.45","0.00","6.80","10.58","10.75","0.00","0.00","8.25","7.94","8.18","0.00","0.00","5.49","9.96","0.00","0.00","8.24","6.21","5.92"
