"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","1157.14","1228.57","1295.77","1283.78","0.00","1232.06","949.37","1292.07","686.27","1388.89","762.76","1089.55","0.00","1816.33","800.50","706.24","1300.00","984.85","1012.71","0.00","1298.74","1038.36","896.00","383.74","978.90","366.30","1149.58","0.00","884.96","2780.79","578.99","836.84","2007.30","989.13","877.02","0.00","1580.00","1037.50","1538.73","955.04","680.85","0.00","818.52","2165.81","956.52","1034.25","612.53","908.36","1069.44","1164.95","487.50","636.36","761.45","2432.43","1231.88","0.00","1021.06","961.54","1000.00"
"2018-02-01","2018-02-28","1076.09","1277.84","1260.87","1219.27","0.00","1072.95","759.26","924.54","670.88","1216.64","1055.56","514.29","0.00","1884.62","872.69","719.70","1250.00","916.67","1021.01","0.00","1284.88","1000.00","903.01","822.39","967.39","0.00","1211.91","0.00","914.89","2898.31","626.98","843.06","1708.61","1030.00","833.33","0.00","1500.00","1040.00","1337.08","965.52","925.00","0.00","814.81","2227.65","686.05","989.95","734.85","914.71","1096.43","1856.44","737.12","510.64","723.21","2405.06","1231.88","0.00","1590.83","965.21","1000.00"
"2018-03-01","2018-03-31","1100.00","1222.22","1260.87","1379.31","0.00","1075.77","720.93","1349.92","698.00","1273.69","879.63","400.82","0.00","1917.29","1612.24","746.42","1333.33","1076.92","941.49","0.00","1269.84","1022.44","873.42","711.64","978.72","0.00","1140.11","0.00","910.71","3022.99","606.94","822.01","1415.67","953.10","954.96","0.00","1514.19","1047.14","1355.93","985.71","864.86","0.00","766.67","2181.47","968.96","959.73","734.85","921.05","1152.53","1329.11","727.27","636.36","715.14","2187.91","1231.88","0.00","1259.26","964.91","1066.67"
"2018-04-01","2018-04-30","1073.35","1138.89","1169.01","1400.00","0.00","985.08","930.74","971.73","666.67","1241.05","909.03","767.63","0.00","1789.47","790.87","740.74","1397.06","1016.67","999.07","0.00","1170.92","1025.59","900.43","670.73","998.44","557.31","969.31","0.00","901.41","2915.16","742.57","801.79","1597.28","990.20","783.33","0.00","1500.00","1086.96","1185.54","995.46","935.48","0.00","809.83","2347.84","820.19","767.51","0.00","994.98","1098.39","1471.09","746.97","521.28","763.50","2232.14","1213.59","0.00","1050.00","975.61","1000.00"
"2018-05-01","2018-05-31","1069.44","1130.43","1111.62","1195.65","0.00","981.47","576.47","1130.95","645.83","1346.75","785.71","826.45","0.00","1888.89","862.46","775.93","1250.00","980.71","978.47","878.38","1225.33","991.19","910.04","727.08","985.22","0.00","457.27","0.00","887.32","2704.72","660.03","844.09","1404.80","1035.78","850.00","0.00","1500.00","1035.72","1244.55","940.00","900.00","0.00","818.03","2297.84","723.53","940.72","734.85","972.22","1183.05","666.67","727.03","700.86","732.54","2379.75","1231.88","265.31","1166.75","970.59","1066.97"
"2018-06-01","2018-06-30","1069.96","1171.08","1260.87","1257.06","0.00","806.46","905.41","1485.44","628.90","1284.35","767.88","614.04","0.00","1879.27","822.82","767.52","1277.78","1000.00","1000.00","0.00","1250.00","1013.07","890.11","405.91","1000.00","1079.71","0.00","0.00","899.12","2951.61","753.67","863.64","1611.14","985.40","791.67","0.00","1586.96","1086.44","1403.17","957.03","803.03","0.00","860.00","2268.52","852.88","913.33","734.85","980.18","1137.86","662.88","0.00","447.37","789.47","2280.70","1231.88","299.81","1341.89","957.93","1069.35"
"2018-07-01","2018-07-31","1125.00","1232.33","1196.08","1341.46","0.00","904.60","792.05","1351.96","682.81","1355.99","912.54","902.56","0.00","1913.84","875.00","707.01","1338.92","987.32","1000.00","763.55","1246.74","1000.00","921.43","688.71","1015.25","0.00","0.00","0.00","866.67","2958.06","704.91","923.08","1606.81","1000.00","802.08","0.00","1455.97","1051.36","1200.00","963.02","854.14","0.00","885.71","2222.22","891.63","923.91","687.83","869.57","1228.61","955.99","753.10","966.67","764.47","2038.83","1222.74","0.00","1673.31","1000.00","1000.00"
"2018-08-01","2018-08-31","1118.73","1200.00","1289.72","1301.37","0.00","894.17","925.37","1248.78","647.06","1275.86","810.14","1317.57","0.00","1920.19","1029.11","740.74","1250.00","953.86","1000.00","0.00","1200.00","1031.75","878.44","583.94","974.31","1666.67","1690.14","0.00","897.73","2903.23","689.15","887.36","1640.01","1000.00","1241.38","0.00","1500.54","1069.64","1200.00","1000.00","835.14","0.00","833.33","2078.31","946.15","923.91","659.70","936.90","1170.57","879.50","619.72","765.37","789.47","2198.48","1213.59","268.02","1500.57","978.24","1018.11"
"2018-09-01","2018-09-30","1218.87","1222.22","1374.07","1500.00","0.00","872.78","891.89","1387.39","710.58","1426.19","775.24","1123.08","0.00","2000.00","977.11","718.52","1482.43","1476.79","1014.20","0.00","1333.33","1154.44","904.44","234.06","970.59","1555.89","1690.14","0.00","884.20","3000.00","694.75","936.98","1694.67","1015.63","851.35","0.00","1588.24","1069.44","1419.18","965.68","1071.43","0.00","820.79","2145.67","974.85","923.91","0.00","1004.92","1141.25","796.00","726.78","700.86","834.78","2177.08","1222.74","0.00","1728.40","1000.00","1052.63"
"2018-10-01","2018-10-31","1183.57","1370.83","1348.62","1388.89","0.00","900.00","857.14","1387.50","655.37","1406.08","849.91","0.00","0.00","2015.50","1000.00","744.27","1350.30","1246.75","969.39","0.00","1240.00","1082.95","894.63","800.00","982.76","1501.51","1600.00","0.00","904.76","3043.48","669.62","871.08","1791.57","1075.40","850.00","0.00","1707.83","1100.00","1397.06","980.39","1019.25","0.00","822.51","2047.24","994.40","0.00","355.26","905.88","1170.57","1087.33","453.25","1136.36","834.78","2032.58","838.73","173.47","1529.01","1038.34","1023.52"
