"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","780","700","0","350","0","1700","600","0","0","300","0","700","0","0","455","0","0","0","1430","0","0","940","0","0","0","0","0","0","0","0","0","650","4000","0","1000","0","570","1190","0","0","0","0","0","0","0","0","0","0","3275","0","1000","780","375","17976","440","0","0","750","600"
"2018-02-01","2018-02-28","1180","650","0","0","1000","1500","0","0","200","0","0","0","0","4000","0","0","0","0","1500","150","0","1000","0","0","0","0","0","0","730","2200","0","0","2950","0","650","0","500","0","0","0","0","0","0","0","100","0","1000","0","5700","0","900","765","0","20000","750","0","0","450","2800"
"2018-03-01","2018-03-31","920","550","470","0","1000","950","0","0","0","0","0","350","700","35481.6","350","120","0","0","1500","600","0","970","0","0","500","0","0","0","800","0","0","0","2000","0","1000","150","670","475","0","0","0","0","0","0","0","0","1000","0","1200","0","0","750","250","17600","1325","0","0","500","0"
"2018-04-01","2018-04-30","890","900","0","0","150","2000","1400","0","0","3000","0","700","0","0","300","0","890","0","1500","350","0","799","0","0","450","0","850","0","0","2100","0","0","2300","0","800","0","585","570","0","0","0","0","0","0","530","0","1000","0","750","0","0","0","250","0","900","0","0","1425","2500"
"2018-05-01","2018-05-31","900","0","0","0","0","897.5","1450","0","0","0","3000","0","1700","1200","0","0","0","0","925","265","0","940","0","0","470","0","0","0","650","1900","0","0","4300","620","0","150","1900","360","0","0","0","0","0","0","460","0","0","0","900","0","0","350","0","0","800","0","0","500","0"
"2018-06-01","2018-06-30","700","0","0","0","0","0","800","3200","0","0","0","0","0","0","250","450","990","0","1400","0","0","665","0","0","0","0","0","0","650","0","0","0","3250","0","1650","0","2380","580","0","297.5","0","0","0","0","0","0","0","0","580","0","0","1200","0","70","650","0","0","500","0"
"2018-07-01","2018-07-31","1170.5","0","0","0","0","1500","820","0","0","0","0","0","0","0","0","0","0","0","950","700","0","950","0","0","650","0","0","0","800","2100","0","0","3150","0","2200","250","1750","640","420","0","0","0","0","0","0","0","1200","0","3420.5","0","0","740","250","8000","1500","0","0","1700","70"
"2018-08-01","2018-08-31","875","1500","0","0","1400","0","1350","0","0","3000","2700","0","1500","0","0","0","450","0","450","0","762","400","1200","775","0","0","0","0","800","2200","0","550","3000","0","0","0","1900","0","0","0","0","0","0","0","500","0","0","0","1250","0","0","1100","650","2222.85","700","0","0","370","1550"
"2018-09-01","2018-09-30","1013","0","0","499","0","450","650","0","0","0","0","0","0","0","0","360","0","0","1005","375","441","3000","0","950","0","0","0","0","800","2050","500","500","2250","0","800","0","1600","0","0","0","0","0","0","0","385","0","1250","0","1141","0","1200","275","0","2000","800","0","0","1500","4000"
"2018-10-01","2018-10-31","975","0","0","950","0","1040","1300","0","0","1900","0","0","0","209.65","690","0","0","0","350","0","762","1500","0","950","0","0","0","0","950","1975","0","40","2500","0","2300","0","1500","420","0","0","0","0","0","0","350","0","0","0","550","0","1000","0","0","1756.5","575","0","0","1250","0"
