"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","6.00","4.61","0.00","4.38","0.00","7.03","8.00","0.00","0.00","2.83","0.00","3.04","0.00","0.00","4.67","0.00","0.00","0.00","3.96","0.00","0.00","6.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.07","8.05","0.00","12.32","0.00","5.58","7.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.14","0.00","4.00","5.49","3.75","7.35","10.39","0.00","0.00","6.93","5.50"
"2018-02-01","2018-02-28","6.55","4.28","0.00","0.00","5.26","7.35","0.00","0.00","2.11","0.00","0.00","0.00","0.00","3.79","0.00","0.00","0.00","0.00","3.67","1.95","0.00","9.09","0.00","0.00","0.00","0.00","0.00","0.00","4.51","14.10","0.00","0.00","6.87","0.00","0.00","0.00","4.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","6.91","0.00","3.60","5.39","0.00","7.46","11.52","0.00","0.00","7.65","6.22"
"2018-03-01","2018-03-31","6.42","6.47","0.00","0.00","5.26","6.59","0.00","0.00","0.00","0.00","0.00","5.83","9.33","14.00","5.83","2.40","0.00","0.00","3.71","3.43","0.00","7.86","0.00","0.00","7.14","0.00","0.00","0.00","2.42","0.00","0.00","0.00","4.93","0.00","12.32","5.00","4.19","5.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","9.14","0.00","0.00","5.34","10.87","7.46","6.17","0.00","0.00","7.65","0.00"
"2018-04-01","2018-04-30","6.43","6.76","0.00","0.00","1.00","6.64","4.39","0.00","0.00","7.43","0.00","3.04","0.00","0.00","4.29","0.00","4.54","0.00","10.00","7.00","0.00","11.54","0.00","0.00","0.00","0.00","14.83","0.00","0.00","13.46","0.00","0.00","7.01","0.00","9.85","0.00","5.26","6.06","0.00","0.00","0.00","0.00","0.00","0.00","5.89","0.00","4.00","0.00","7.06","0.00","0.00","0.00","10.87","0.00","6.60","0.00","0.00","7.82","5.00"
"2018-05-01","2018-05-31","5.94","0.00","0.00","0.00","0.00","4.81","5.62","0.00","0.00","0.00","5.00","0.00","0.00","6.73","0.00","0.00","0.00","0.00","5.91","6.00","0.00","6.39","0.00","0.00","3.13","0.00","0.00","0.00","5.50","6.33","0.00","0.00","6.67","5.90","0.00","5.00","0.00","4.24","0.00","0.00","0.00","0.00","0.00","0.00","5.11","0.00","0.00","0.00","7.38","0.00","0.00","6.36","0.00","0.00","11.86","0.00","0.00","6.36","0.00"
"2018-06-01","2018-06-30","6.88","0.00","0.00","0.00","0.00","0.00","4.87","15.46","0.00","0.00","0.00","0.00","0.00","0.00","5.32","1.80","3.67","0.00","3.50","0.00","0.00","6.34","0.00","0.00","0.00","0.00","0.00","0.00","5.42","0.00","0.00","0.00","8.58","0.00","7.20","0.00","7.21","5.80","0.00","4.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.06","0.00","0.00","2.86","0.00","0.44","10.06","0.00","0.00","6.75","0.00"
"2018-07-01","2018-07-31","5.08","0.00","0.00","0.00","0.00","3.55","3.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.94","3.11","0.00","3.45","0.00","0.00","5.42","0.00","0.00","0.00","2.42","11.67","0.00","0.00","6.10","0.00","6.53","10.00","6.96","8.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.50","0.00","0.00","3.68","0.00","10.87","4.65","0.00","0.00","5.45","4.67"
"2018-08-01","2018-08-31","5.71","8.82","0.00","0.00","7.37","0.00","4.54","0.00","0.00","7.43","4.50","0.00","5.00","0.00","0.00","0.00","3.60","0.00","5.71","0.00","1.71","4.00","3.00","5.06","0.00","0.00","0.00","0.00","2.40","13.25","0.00","3.14","0.00","0.00","0.00","0.00","6.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","0.00","0.00","4.35","0.00","0.00","2.62","8.44","5.00","7.82","0.00","0.00","6.49","6.57"
"2018-09-01","2018-09-30","6.13","0.00","0.00","10.62","0.00","4.59","6.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.43","0.00","0.00","6.19","6.25","6.30","4.03","0.00","6.13","0.00","0.00","0.00","0.00","2.35","11.39","6.25","5.00","8.48","0.00","9.85","0.00","6.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.25","0.00","0.00","0.00","4.51","0.00","5.45","6.11","0.00","6.00","8.79","0.00","0.00","7.65","6.67"
"2018-10-01","2018-10-31","5.83","0.00","0.00","8.64","0.00","6.63","4.60","0.00","0.00","5.43","0.00","0.00","0.00","3.50","4.11","0.00","0.00","0.00","6.91","0.00","10.89","2.40","0.00","6.13","0.00","0.00","0.00","0.00","2.79","10.56","0.00","2.67","7.62","0.00","6.53","0.00","6.91","4.94","0.00","0.00","0.00","0.00","0.00","0.00","5.83","0.00","0.00","0.00","4.74","0.00","4.55","0.00","0.00","7.93","5.69","0.00","0.00","5.68","0.00"
"2018-11-01","2018-11-30","6.00","5.89","0.00","10.00","5.79","0.00","2.28","0.00","0.00","5.67","0.00","0.00","0.00","3.50","0.00","0.00","0.00","0.00","4.76","0.00","6.71","0.38","1.75","0.00","5.97","0.00","0.00","0.00","2.61","11.05","7.50","0.00","10.49","0.00","9.24","0.00","6.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","5.00","0.00","0.00","0.00","0.00","5.57","6.64","0.00","0.00","6.67","6.29"
"2018-12-01","2018-12-31","6.51","0.00","0.00","0.00","0.00","0.00","3.14","0.00","0.00","0.00","0.00","0.00","0.00","6.26","0.00","0.00","0.00","0.00","4.07","0.00","0.00","3.95","0.00","5.48","0.00","0.00","0.00","0.00","0.00","10.47","0.00","0.00","8.15","0.00","0.00","0.00","6.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.90","0.00","4.74","0.00","0.00","7.65","4.21"
"2019-01-01","2019-01-31","6.46","8.82","0.00","7.00","0.00","7.50","5.33","0.00","0.00","6.55","0.00","0.00","5.08","3.03","0.00","0.00","6.40","0.00","4.88","0.00","0.00","5.63","0.00","0.00","0.00","0.00","0.00","0.00","4.43","10.26","0.00","5.00","8.88","0.00","7.85","6.67","6.48","5.40","0.00","7.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.70","0.00","0.00","0.00","0.00","6.00","6.25","0.00","0.00","6.62","5.00"
"2019-02-01","2019-02-28","6.31","8.08","0.00","6.68","5.14","0.00","4.00","0.00","0.00","2.56","0.00","0.00","0.00","0.00","6.82","0.00","0.00","0.00","4.66","5.83","0.00","5.36","0.00","0.00","8.59","0.00","3.79","0.00","2.40","10.00","0.00","0.00","10.00","0.00","8.74","0.00","5.16","6.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.22","0.00","7.24","0.00","0.00","0.00","0.00","6.00","13.84","0.00","0.00","6.67","6.67"
"2019-03-01","2019-03-31","6.00","6.33","0.00","0.00","0.00","6.43","3.00","0.00","0.00","5.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.90","0.00","5.00","3.70","0.00","0.00","0.00","0.00","0.00","2.42","0.00","0.00","0.00","10.29","0.00","8.33","0.00","6.23","4.59","7.34","0.00","0.00","0.00","0.00","0.00","3.77","0.00","0.00","0.00","0.00","0.35","0.00","3.74","0.00","5.73","8.33","0.00","0.00","6.00","7.50"
"2019-04-01","2019-04-30","6.57","4.23","0.00","6.11","0.00","12.00","4.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","0.00","0.00","4.25","5.95","0.00","0.00","3.70","0.00","5.67","0.00","0.00","3.67","0.00","0.00","0.00","0.00","9.32","0.00","5.38","0.00","6.85","4.60","0.00","7.14","0.00","0.00","0.00","0.00","0.00","0.00","4.94","0.00","6.65","0.00","5.16","3.33","0.00","6.00","9.85","0.00","0.00","6.00","7.50"
"2019-05-01","2019-05-31","7.16","8.82","0.00","6.72","0.00","4.25","6.70","0.00","0.00","0.00","0.00","10.85","0.00","3.74","11.67","0.00","0.00","0.00","7.14","4.57","8.16","0.00","0.00","0.00","6.67","0.00","6.06","3.67","0.00","15.35","0.00","5.00","8.09","2.02","7.30","10.54","5.14","4.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.57","6.82","0.00","0.00","3.33","0.00","4.73","15.58","0.00","0.00","6.74","6.17"
"2019-06-01","2019-06-30","6.72","5.24","0.00","12.09","0.00","7.50","6.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.50","0.00","0.00","0.00","0.00","6.79","0.00","4.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.67","0.00","0.00","10.87","0.00","5.85","0.00","5.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","45.61","0.00","0.00","0.89","0.00","7.00","6.72","0.00","0.00","6.67","5.83"
"2019-07-01","2019-07-31","5.86","7.94","0.00","0.00","0.00","8.37","5.50","0.00","0.00","0.00","0.00","8.40","0.00","0.00","0.00","0.00","0.00","0.00","1.88","3.65","0.00","2.62","0.00","0.00","5.78","0.00","0.00","3.67","6.60","0.00","0.00","0.00","9.01","0.00","6.67","0.00","5.59","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.96","0.00","7.05","0.00","0.00","5.86","5.74","0.00","0.00","6.92","5.26"
"2019-08-01","2019-08-31","6.52","7.57","0.00","0.00","0.00","9.76","7.15","0.00","0.00","16.67","0.00","0.00","0.00","0.00","9.33","0.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","6.67","0.00","0.00","0.00","5.30","16.67","0.00","0.00","9.52","0.00","6.33","0.00","6.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","4.69","0.00","0.00","6.00","6.46","0.00","0.00","0.67","3.29"
