"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","206500","269500","89845","385000","90000","263775","212500","85000","73300","890000","218555","1250000","212000","950000","148800","199555","190000","600000","235000","99600","1200000","149000","18000","229990","169000","113000","235000","0","157500","352500","89000","202500","630000","191450","470000","270000","155000","352500","350000","99000","0","0","111000","0","62500","0","185000","187000","280000","220000","59000","248500","74000","900000","217500","0","140000","169500","174000"
"2018-02-01","2018-02-28","200000","237450","18840","185000","250000","242075","235000","112450","50000","1999000","130000","148000","0","420000","124400","111777.5","345000","6800","227000","52000","1690000","192500","78350","261000","160000","79700","189000","39700","110500","635000","0","445000","620000","215000","337500","165000","177500","229750","175000","163000","0","0","30000","0","149000","0","183555","36000","260000","270000","55500","100000","188000","1550000","210000","0","119000","142000","205000"
"2018-03-01","2018-03-31","179050","250000","0","417500","210000","252275","235000","50950","58000","412500","155000","159000","85000","418320","159400","107777.5","0","175000","152500","46000","493500","170000","0","215000","101000","125000","135900","67000","145000","395000","0","295000","515000","133000","240000","0","125000","167000","350000","122000","1000","0","685000","0","101750","0","183555","150000","394625","135000","89250","349000","100000","737500","230000","75000","125000","184000","191500"
"2018-04-01","2018-04-30","168000","250000","109285","317500","87500","195000","235000","23000","59000","480930","159000","564000","0","322000","124400","75500","240000","42395","265000","46000","550000","165000","86327","195000","152000","0","165000","79850","107000","432500","0","138000","610000","215000","420000","150000","159500","229000","1150000","134500","0","0","111000","0","70000","0","149000","187000","265000","140000","130000","189500","57700","695000","205000","0","125000","149750","225000"
"2018-05-01","2018-05-31","180000","270000","17780","177000","170000","197000","215000","122500","73000","768000","152000","139950","266500","315000","209250","105777.5","260000","210000","169000","37000","139500","139900","165000","203500","155000","0","135900","120000","128500","530000","20000","420000","487500","280000","420000","143500","195000","167000","350000","170000","0","0","194500","0","122000","0","109500","50000","270000","147500","145000","310000","57700","575000","218000","0","140000","136500","152900"
"2018-06-01","2018-06-30","170000","110000","0","377500","90000","226588.5","215000","41500","47500","485000","150000","125100","0","360000","280000","28000","179900","328390","215000","44500","450000","156500","78290","179500","40500","59900","100000","37700","148500","0","0","200500","500000","219535","315000","144500","176500","260000","350000","159900","35000","0","11140","0","64998","0","480000","95000","270000","135000","196500","194450","79000","760000","200000","0","232500","130000","47500"
"2018-07-01","2018-07-31","175000","197500","85000","295000","210000","192000","215000","32750","45500","485000","170000","99000","0","405000","170000","257500","185000","210000","195000","35000","139000","162500","0","197000","155000","0","150450","0","122500","225000","0","435000","574000","152267.5","420000","122000","231000","191000","662500","90000","490000","0","120000","0","149000","0","139000","36000","270000","152500","79750","279000","52000","575000","234500","85000","125000","165000","188950"
"2018-08-01","2018-08-31","186000","250000","17780","154000","210000","244000","207500","48000","63000","395000","150000","125100","350000","430000","177500","18000","260000","14700","186000","32950","350000","165000","137945","169000","140000","0","250000","62850","148500","530000","50000","245000","295000","219535","425000","142000","100500","89000","750000","77200","22000","0","0","0","45000","0","132000","185000","250000","210000","193000","210000","67999.5","685000","185000","0","125000","165000","188950"
"2018-09-01","2018-09-30","195527.5","239000","0","250000","135000","187500","240000","55000","154500","768000","195000","125100","350000","416640","144000","497000","315000","305500","195500","43500","5600000","227000","149000","203500","162500","0","196500","39500","342500","222000","150000","172500","750000","219535","249000","127500","89750","109000","175000","114500","399000","0","115000","0","149000","0","188527.5","195000","187500","327500","93000","220000","160000","762500","239500","85000","330000","157500","299000"
"2018-10-01","2018-10-31","185000","250000","170000","173000","150000","185000","200000","161500","71500","1999000","145000","181444","0","320000","231550","111500","354999.5","218500","245000","36500","160000","205000","27000","192600","145000","0","521500","38700","135000","1950","277000","225000","495000","219535","484500","120000","340000","168650","0","100000","499000","0","85000","0","84250","0","148777.5","164500","180000","277500","194000","199000","81000","412000","199000","0","350000","187000","527500"
