"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","700","0","0","0","0","4500","500","0","0","0","0","0","0","18500","0","0","0","0","0","0","0","0","0","0","400","0","0","0","0","0","0","700","0","0","0","0","750","0","0","800","600","0","0","0","1125","1195.12","0","0","0","5500","0","0","300","150","0","0","0","0","0"
"2018-02-01","2018-02-28","700","0","0","0","0","4500","650","0","0","0","0","0","0","13500","750","0","0","0","0","0","0","0","0","0","400","0","0","0","0","0","0","700","0","0","0","0","450","0","0","0","0","0","350","0","1000","0","0","0","0","0","0","0","0","150","0","0","0","1700","0"
"2018-03-01","2018-03-31","845","0","0","0","990","4500","1500","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","700","0","0","0","0","1000","0","0","0","700","0","350","0","1000","0","0","0","0","0","0","0","0","150","0","0","0","0","0"
"2018-04-01","2018-04-30","575","0","0","200","990","0","0","0","0","0","0","0","0","13500","150","0","0","160","0","0","0","3085.5","0","0","450","0","0","0","0","0","0","700","0","0","0","0","400","0","278.91","0","0","0","0","900","1000","0","0","0","0","800","0","0","0","0","0","0","0","150","0"
"2018-05-01","2018-05-31","700","0","0","0","0","4500","0","0","0","0","0","0","0","13500","150","0","0","440","0","0","0","0","0","0","900","0","0","0","0","0","0","700","0","0","0","0","700","60","0","500","700","0","350","0","1062.5","0","0","0","0","0","0","0","0","0","0","0","0","700","0"
"2018-06-01","2018-06-30","400","0","0","0","0","0","0","0","0","0","0","0","0","13500","150","0","0","0","0","0","0","3085.5","0","0","450","0","300","0","100","0","0","500","0","0","0","0","1000","0","0","0","350","0","350","650","561.5","0","0","0","0","315","0","0","0","0","0","0","0","0","0"
"2018-07-01","2018-07-31","1000","0","0","0","0","1500","0","0","0","0","0","0","0","0","0","0","0","440","0","0","0","3085.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","700","0","0","0","500","3715","1193.75","0","1000","0","0","0","0","1400","0","0","0","0","0","0","0","0","0"
"2018-08-01","2018-08-31","500","0","0","0","0","0","850","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","6422.5","0","675","0","1000","0","0","0","0","315","0","0","0","120","0","0","0","0","0"
"2018-09-01","2018-09-30","395","0","0","0","0","850","0","0","0","0","0","0","0","80","0","3000","0","440","0","0","150","1.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","525","0","868.75","0","0","0","0","0","0","1400","0","0","0","120","0","0","0","0","0"
"2018-10-01","2018-10-31","500","0","0","0","0","500","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","1200","0","0","0","0","0","0","500","0","0","0","182.5","3715","240","0","780","0","0","0","0","857.5","0","0","0","0","0","0","0","0","0"
