"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","0.45","0.00","0.00","0.00","0.00","0.00","0.29","0.00","0.00","0.00","0.00","0.00","0.00","12.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.53","0.34","0.00","0.00","0.00","0.45","1.23","0.00","0.00","0.00","0.50","0.00","0.00","0.38","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-02-01","2018-02-28","0.50","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.00","0.00","0.00","0.00","0.00","9.57","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.00","0.00","0.00","0.48","0.00","0.00","0.00","0.00","0.00","0.35","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","0.00"
"2018-03-01","2018-03-31","0.43","0.00","0.00","0.00","0.49","0.00","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.00","0.00","0.00","0.24","0.00","0.00","0.00","0.58","0.00","0.35","0.00","0.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-04-01","2018-04-30","0.45","0.00","0.00","0.14","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.57","0.50","0.00","0.00","0.30","0.00","0.00","0.00","0.36","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.00","0.00","0.00","0.70","0.00","0.08","0.00","0.00","0.00","0.00","0.90","0.25","0.00","0.00","0.00","0.00","1.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00"
"2018-05-01","2018-05-31","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.57","0.50","0.00","0.00","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.00","0.00","0.00","0.50","2.40","0.00","0.28","0.58","0.00","0.35","0.00","0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.44","0.00"
"2018-06-01","2018-06-30","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.57","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.36","0.00","0.00","0.50","0.00","0.25","0.00","0.17","0.00","0.00","0.83","0.00","0.00","0.00","0.00","0.24","0.00","0.00","0.00","0.44","0.00","0.35","0.65","0.12","0.00","0.00","0.00","0.00","0.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-07-01","2018-07-31","0.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.38","0.25","0.88","0.00","0.45","0.00","0.00","0.00","0.00","0.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-08-01","2018-08-31","0.50","0.00","0.00","0.00","0.00","0.00","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","1.54","0.00","0.68","0.00","0.47","0.00","0.00","0.00","0.00","0.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-09-01","2018-09-30","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.57","0.00","0.06","0.00","0.40","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.00","0.55","0.00","0.00","0.00","0.00","0.00","0.00","0.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-10-01","2018-10-31","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.23","0.25","0.73","0.00","0.45","0.00","0.00","0.00","0.00","0.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2018-11-01","2018-11-30","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.12","0.00","0.00","0.00","0.00","0.00","0.35","0.00","0.00","0.00","0.00","0.00","1.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00"
"2018-12-01","2018-12-31","0.50","0.43","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.82","0.00","0.00","0.00","0.00","0.00","0.00","0.65","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-01-01","2019-01-31","0.40","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.00","0.00","0.84","0.00","0.00","0.00","0.15","0.00","0.00","0.00","1.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-02-01","2019-02-28","0.45","0.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-03-01","2019-03-31","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.70","0.00","0.00","0.00","0.25","0.00","0.80","0.00","0.00","0.00","0.00","0.00","1.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.60"
"2019-04-01","2019-04-30","0.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.24","0.00","0.00","0.00","1.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-05-01","2019-05-31","0.48","0.00","0.00","0.00","0.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.72","0.00","0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-06-01","2019-06-30","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.25","0.00","3.00","0.00","0.26","0.00","0.00","0.00","1.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-07-01","2019-07-31","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.00","0.06","0.00","0.00","0.00","0.25","0.00","0.72","0.00","0.38","0.00","0.00","0.00","1.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2019-08-01","2019-08-31","0.77","0.00","0.00","0.00","0.00","0.00","0.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.25","0.25","1.85","0.00","0.20","0.00","0.00","0.00","0.00","0.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00"
